nationality,destination_country,visa_type,gender,age,education_level,employment_status,travel_purpose,language_proficiency,annual_income,bank_balance,travel_history_count,previous_rejections,accommodation_proof,return_ticket,invitation_letter,health_insurance,approval_status,processing_days
Vietnam,Schengen (EU),Business,Male,62,High School,Government,Work Assignment,Advanced,31839.69,33713.94,1,1,1,1,1,0,0,18
Sri Lanka,Canada,Work,Male,52,High School,Government,Education,Intermediate,28359.18,74464.36,1,0,0,1,1,1,1,36
South Korea,South Africa,Student,Female,60,Master's Degree,Private Sector,Permanent Residence,Native,30115.85,75861.8,1,0,1,0,0,0,1,12
China,Denmark,Transit,Male,53,Bachelor's Degree,Self-Employed,Work Assignment,Intermediate,10024.38,3694.7,1,0,1,1,1,1,0,13
Turkey,Japan,Family/Spouse,Female,43,PhD,Government,Education,Native,3735.31,4775.38,0,0,1,1,0,0,0,14
Colombia,Australia,Tourist,Male,68,High School,Retired,Work Assignment,None,15779.2,34722.74,3,0,0,1,0,1,0,28
France,Belgium,Transit,Female,75,Bachelor's Degree,Private Sector,Medical,Advanced,39994.23,52134.95,4,0,1,1,1,1,1,6
Vietnam,South Africa,Family/Spouse,Male,53,Bachelor's Degree,Private Sector,Conference,Intermediate,21723.95,26836.83,0,0,1,1,1,1,0,18
Bulgaria,Japan,Tourist,Female,51,Bachelor's Degree,Self-Employed,Tourism,Intermediate,91557.81,108419.59,2,0,1,1,1,0,1,11
South Korea,Ireland,Student,Female,36,Master's Degree,Private Sector,Education,Advanced,26118.74,68542.93,3,0,1,1,1,1,1,22
Australia,Belgium,Immigrant/PR,Female,36,High School,Self-Employed,Education,Advanced,18812.4,55191.08,1,0,1,1,0,1,1,29
South Korea,China,Transit,Female,66,High School,Unemployed,Work Assignment,Basic,68362.08,8875.29,1,0,1,1,0,1,0,9
Ghana,Switzerland,Student,Male,31,Associate Degree,Retired,Family Visit,Intermediate,34336.0,50464.52,0,0,1,1,1,1,1,38
Philippines,France,Immigrant/PR,Male,57,Bachelor's Degree,Government,Business Meeting,None,34349.56,27439.6,2,0,1,1,0,1,1,39
Ecuador,Australia,Tourist,Female,49,Bachelor's Degree,Student,Conference,Intermediate,5200.03,15570.91,0,0,1,1,0,1,0,23
UAE,Taiwan,Family/Spouse,Female,80,Bachelor's Degree,Private Sector,Business Meeting,Advanced,117256.53,271719.79,1,0,1,1,1,0,1,14
Yemen,Netherlands,Immigrant/PR,Female,54,PhD,Retired,Conference,Basic,18636.94,43814.39,0,0,1,1,0,1,0,61
Romania,Austria,Tourist,Female,66,Bachelor's Degree,Private Sector,Medical,Intermediate,10666.0,19831.78,3,0,0,1,0,0,1,8
Peru,United Kingdom,Student,Male,33,Master's Degree,Self-Employed,Family Visit,Advanced,26794.95,71685.17,0,0,1,1,0,1,1,25
France,New Zealand,Work,Female,54,Associate Degree,Private Sector,Medical,Intermediate,22583.67,2945.93,0,0,0,1,1,0,0,36
Ghana,UAE,Student,Other,66,Associate Degree,Private Sector,Family Visit,Advanced,8276.49,9265.85,8,0,1,1,1,0,1,13
Hungary,New Zealand,Transit,Female,23,High School,Private Sector,Medical,Advanced,17341.01,49076.07,6,0,1,1,0,1,0,11
Nepal,Portugal,Student,Male,51,Bachelor's Degree,Private Sector,Education,Intermediate,95200.41,222938.83,5,0,1,1,0,0,1,26
Chile,Ireland,Student,Male,43,Bachelor's Degree,Student,Education,Intermediate,41493.68,7755.26,0,0,1,1,1,1,0,21
Brazil,Taiwan,Business,Female,62,Bachelor's Degree,Government,Tourism,Native,19288.25,36519.66,3,1,0,1,1,1,1,16
South Korea,Italy,Transit,Female,51,Bachelor's Degree,Private Sector,Work Assignment,Native,29746.36,81949.82,7,0,1,1,0,1,1,4
Myanmar,Schengen (EU),Student,Female,62,Bachelor's Degree,Self-Employed,Tourism,Advanced,43171.43,12170.66,1,0,1,1,1,0,1,28
Senegal,Singapore,Tourist,Male,39,High School,Self-Employed,Conference,Advanced,38460.13,43588.37,4,0,1,1,0,0,1,11
Germany,Australia,Tourist,Male,46,Professional Degree,Government,Permanent Residence,Basic,71483.32,145279.63,1,0,1,1,0,1,0,16
Qatar,Denmark,Tourist,Male,51,PhD,Retired,Business Meeting,Advanced,27064.53,77339.9,3,0,0,1,1,1,1,12
Pakistan,France,Tourist,Male,63,High School,Retired,Medical,Advanced,242533.63,308979.81,2,1,0,1,1,1,0,22
Syria,United States,Family/Spouse,Male,80,Bachelor's Degree,Student,Business Meeting,Native,110367.78,98332.08,1,0,1,0,1,1,0,33
Canada,France,Tourist,Male,68,High School,Unemployed,Education,None,5241.9,4197.11,0,0,0,1,1,0,0,10
Hungary,India,Work,Female,56,Bachelor's Degree,Retired,Work Assignment,Native,41316.09,34699.18,3,0,1,1,0,1,0,16
Algeria,China,Tourist,Male,67,Bachelor's Degree,Government,Business Meeting,Advanced,107803.67,250910.37,1,0,0,1,1,1,1,16
Iran,Austria,Student,Female,62,High School,Unemployed,Tourism,Intermediate,296853.99,133176.45,0,0,1,0,1,1,1,40
Venezuela,Germany,Work,Male,62,Master's Degree,Student,Family Visit,Advanced,2469.35,6233.57,1,0,1,1,0,1,0,32
Malaysia,South Korea,Transit,Male,76,No Formal Education,Government,Conference,Advanced,13495.45,6254.17,0,0,0,1,0,0,1,10
Sri Lanka,Denmark,Immigrant/PR,Female,61,Master's Degree,Private Sector,Tourism,Basic,36280.34,41890.8,1,0,1,1,1,0,1,36
Australia,Austria,Tourist,Male,33,Bachelor's Degree,Private Sector,Tourism,None,20444.81,17371.94,0,0,1,0,1,1,0,10
Philippines,Denmark,Work,Male,57,Master's Degree,Retired,Permanent Residence,Intermediate,232250.18,657891.51,3,0,1,1,0,0,1,26
Qatar,China,Family/Spouse,Male,60,Bachelor's Degree,Student,Family Visit,Intermediate,62029.27,103393.91,3,0,1,1,1,0,1,18
Australia,New Zealand,Student,Female,72,High School,Unemployed,Business Meeting,Native,7104.04,6700.31,5,0,1,1,1,1,0,22
Nepal,New Zealand,Student,Male,53,Bachelor's Degree,Private Sector,Family Visit,Intermediate,41150.97,59295.19,4,0,1,1,1,1,0,31
South Korea,France,Transit,Female,66,Bachelor's Degree,Student,Family Visit,Intermediate,71425.39,70141.66,0,0,1,1,0,0,0,8
Hungary,Netherlands,Student,Female,62,High School,Student,Permanent Residence,Intermediate,53480.42,22184.21,1,0,1,1,0,0,1,20
Chile,South Korea,Family/Spouse,Male,67,Bachelor's Degree,Private Sector,Family Visit,Native,19694.19,25905.51,3,0,1,1,1,1,0,15
Argentina,Norway,Work,Female,41,Bachelor's Degree,Student,Conference,Intermediate,180579.12,99611.37,0,0,1,1,1,1,0,26
Iraq,United Kingdom,Tourist,Male,75,Bachelor's Degree,Student,Family Visit,Intermediate,27847.05,73808.78,3,0,1,1,0,1,1,25
Syria,Canada,Tourist,Male,39,Associate Degree,Government,Tourism,Native,34631.54,101236.61,1,1,1,0,1,1,0,33
Germany,Canada,Work,Male,50,Master's Degree,Retired,Business Meeting,Advanced,38698.62,101077.3,1,0,1,1,1,0,1,35
Australia,Australia,Business,Female,28,Master's Degree,Government,Business Meeting,Intermediate,22690.57,60444.87,0,0,1,1,1,1,0,21
Senegal,Thailand,Transit,Male,52,Master's Degree,Student,Permanent Residence,Intermediate,10380.13,23204.93,2,0,1,1,1,0,0,11
Brazil,Denmark,Work,Male,52,Master's Degree,Self-Employed,Education,Intermediate,48573.72,49533.24,1,0,0,0,1,0,0,32
Bulgaria,South Africa,Family/Spouse,Male,51,Bachelor's Degree,Private Sector,Family Visit,Intermediate,14963.6,34974.59,0,1,1,1,1,0,1,10
Senegal,Switzerland,Transit,Female,37,High School,Self-Employed,Family Visit,Basic,13209.21,24720.08,1,0,1,1,1,1,0,14
Tunisia,China,Transit,Male,44,PhD,Private Sector,Education,Native,3486.6,1950.53,2,0,1,1,0,1,0,9
Brazil,New Zealand,Transit,Male,49,Associate Degree,Self-Employed,Work Assignment,Advanced,14414.17,32696.92,0,0,1,1,1,1,1,14
Japan,New Zealand,Work,Male,53,High School,Government,Permanent Residence,Intermediate,56718.36,143912.28,1,0,1,1,1,1,1,33
Chile,Spain,Family/Spouse,Female,44,High School,Private Sector,Work Assignment,Basic,92402.79,272626.12,3,0,0,1,0,1,1,19
Germany,Austria,Business,Male,45,Bachelor's Degree,Government,Work Assignment,Advanced,14590.12,25549.95,1,0,1,1,0,1,1,10
Bangladesh,Australia,Business,Male,47,Bachelor's Degree,Retired,Business Meeting,Native,47170.78,110663.79,2,0,1,1,1,1,1,30
Colombia,Germany,Transit,Male,56,PhD,Retired,Business Meeting,Advanced,2791.02,3561.68,5,0,0,1,1,1,1,14
Afghanistan,Ireland,Transit,Female,71,High School,Student,Permanent Residence,Advanced,42444.3,29044.51,3,0,0,1,0,1,0,26
Nepal,United States,Student,Male,70,High School,Student,Business Meeting,Intermediate,163344.19,89752.24,0,0,1,1,1,0,1,46
Morocco,United Kingdom,Tourist,Female,74,Bachelor's Degree,Student,Business Meeting,Native,183723.67,281914.75,0,0,1,0,0,1,1,19
Syria,Canada,Immigrant/PR,Female,50,Bachelor's Degree,Student,Family Visit,Native,10671.96,15247.43,0,0,1,1,1,0,1,74
Japan,China,Family/Spouse,Female,56,High School,Student,Conference,Advanced,25086.9,43406.97,10,0,1,0,1,1,0,12
Philippines,India,Business,Male,74,Bachelor's Degree,Unemployed,Family Visit,Native,65676.41,110905.07,0,0,0,1,0,1,1,21
China,United Kingdom,Business,Female,65,Master's Degree,Private Sector,Business Meeting,Basic,38928.23,23194.62,0,0,0,1,1,1,1,22
Egypt,Ireland,Tourist,Female,49,Bachelor's Degree,Private Sector,Education,Advanced,12824.25,33400.48,1,0,0,1,1,1,0,19
India,China,Business,Female,52,High School,Government,Medical,Native,78835.52,50347.97,0,0,1,1,0,1,1,28
United States,Belgium,Student,Female,59,PhD,Government,Business Meeting,None,46057.2,114970.22,5,0,1,1,0,1,1,16
Bangladesh,United States,Immigrant/PR,Female,77,High School,Self-Employed,Business Meeting,Native,8543.46,1410.87,0,0,1,1,0,0,1,95
Thailand,China,Work,Male,70,PhD,Self-Employed,Tourism,Intermediate,15487.1,14549.49,2,1,1,1,1,1,1,17
Saudi Arabia,UAE,Work,Male,46,Associate Degree,Government,Education,Intermediate,40826.63,10379.07,2,0,1,1,0,1,1,11
Syria,Sweden,Immigrant/PR,Female,62,Master's Degree,Retired,Tourism,Advanced,4532.19,13207.96,5,0,1,1,1,1,0,40
Iraq,Switzerland,Student,Female,64,Bachelor's Degree,Unemployed,Education,None,61638.46,179731.0,1,0,1,0,1,0,0,38
Vietnam,Thailand,Work,Female,51,Bachelor's Degree,Student,Work Assignment,Intermediate,33353.14,32018.3,5,1,1,0,0,1,1,14
France,Malaysia,Business,Male,67,High School,Private Sector,Medical,Native,41543.45,84240.18,1,0,1,1,1,0,1,3
Iraq,New Zealand,Work,Male,59,High School,Private Sector,Tourism,Intermediate,21814.73,60750.64,0,0,0,1,0,0,1,40
Senegal,Portugal,Transit,Female,57,Master's Degree,Government,Conference,Native,3051.73,2879.93,1,0,1,0,1,1,0,13
Peru,Singapore,Student,Female,40,Professional Degree,Private Sector,Work Assignment,Advanced,230628.8,91115.78,2,0,1,1,1,1,1,13
Argentina,Thailand,Immigrant/PR,Male,75,Professional Degree,Private Sector,Tourism,Advanced,108276.51,49402.35,3,0,1,1,0,1,1,9
Yemen,Denmark,Business,Female,59,Associate Degree,Unemployed,Work Assignment,Advanced,10178.66,9314.59,5,0,1,1,0,1,0,22
Sri Lanka,Singapore,Business,Female,60,PhD,Self-Employed,Business Meeting,Advanced,20412.88,55856.73,3,0,1,1,1,0,1,8
Argentina,Netherlands,Work,Male,56,Bachelor's Degree,Private Sector,Work Assignment,Intermediate,14646.12,15448.2,2,0,1,1,1,1,0,22
Sri Lanka,Italy,Work,Male,73,Bachelor's Degree,Private Sector,Work Assignment,Native,39405.29,27915.83,7,0,1,1,0,0,0,26
Canada,New Zealand,Business,Male,57,Bachelor's Degree,Retired,Family Visit,Advanced,60990.11,164527.07,0,0,1,1,1,1,1,13
Tunisia,Taiwan,Immigrant/PR,Male,77,No Formal Education,Unemployed,Business Meeting,Advanced,62494.07,34006.82,3,0,1,1,1,1,1,38
Bulgaria,Taiwan,Family/Spouse,Female,54,Bachelor's Degree,Retired,Conference,Native,82564.83,185728.19,0,0,0,0,0,1,1,11
Romania,Switzerland,Tourist,Male,54,Bachelor's Degree,Private Sector,Tourism,Advanced,100729.38,136360.29,2,0,0,1,1,1,1,14
Indonesia,China,Transit,Female,69,Master's Degree,Private Sector,Tourism,Basic,9255.85,27510.19,2,0,1,1,0,1,0,14
United States,Switzerland,Work,Male,33,Bachelor's Degree,Unemployed,Education,Native,11047.1,7521.24,2,0,1,1,0,1,1,24
India,New Zealand,Tourist,Female,72,Associate Degree,Private Sector,Education,Intermediate,24799.97,64331.81,1,0,1,1,0,1,0,18
Myanmar,Austria,Tourist,Male,67,PhD,Retired,Medical,Advanced,118136.88,56640.35,3,0,1,0,0,1,1,12
Myanmar,Austria,Work,Male,48,Master's Degree,Private Sector,Family Visit,None,30868.8,17869.93,7,0,1,1,1,1,1,28
Hungary,Netherlands,Immigrant/PR,Male,56,Professional Degree,Government,Family Visit,Advanced,11937.45,15166.03,1,0,1,1,0,1,0,31
Iraq,Thailand,Transit,Female,69,PhD,Self-Employed,Conference,Advanced,42032.13,11755.68,10,0,1,1,1,0,1,11
Afghanistan,Switzerland,Work,Female,66,Master's Degree,Retired,Family Visit,Intermediate,27895.01,13311.52,0,0,1,1,1,1,1,42
Bangladesh,Austria,Immigrant/PR,Female,65,Master's Degree,Government,Business Meeting,Advanced,216653.41,471227.12,4,0,1,1,0,1,1,45
Peru,Taiwan,Family/Spouse,Female,30,Master's Degree,Student,Family Visit,Intermediate,10913.29,4128.6,2,0,0,1,0,1,1,13
Tunisia,India,Immigrant/PR,Female,79,High School,Private Sector,Business Meeting,Intermediate,16115.56,29047.57,0,0,1,1,0,1,1,25
Hungary,Norway,Immigrant/PR,Male,50,Master's Degree,Unemployed,Family Visit,Native,125630.12,83331.33,1,0,1,0,1,1,0,49
Venezuela,New Zealand,Business,Male,31,Master's Degree,Self-Employed,Family Visit,Intermediate,30211.29,74626.98,0,0,1,1,0,1,0,35
Qatar,Canada,Transit,Male,41,Bachelor's Degree,Private Sector,Family Visit,Advanced,25507.43,62611.23,2,0,1,1,1,1,1,13
Japan,Belgium,Work,Male,44,High School,Student,Medical,Intermediate,65961.22,76321.28,1,0,1,1,0,1,1,14
Mexico,Schengen (EU),Family/Spouse,Male,65,High School,Private Sector,Family Visit,Advanced,28519.72,66343.8,3,0,0,1,1,1,1,20
China,Norway,Transit,Male,34,High School,Government,Business Meeting,Intermediate,8830.98,15127.38,5,0,0,1,1,1,0,10
Morocco,Denmark,Business,Male,69,Master's Degree,Retired,Conference,Basic,22154.45,43440.58,6,0,1,1,1,1,1,14
Indonesia,Spain,Business,Female,67,Bachelor's Degree,Private Sector,Business Meeting,Native,207116.76,481157.41,0,0,1,1,0,1,0,16
Poland,China,Immigrant/PR,Female,58,Bachelor's Degree,Retired,Tourism,None,69237.54,195342.13,2,0,1,1,1,1,0,39
UAE,Turkey,Work,Female,55,PhD,Private Sector,Medical,Intermediate,18011.98,15326.78,2,0,1,1,1,1,0,5
Egypt,India,Immigrant/PR,Female,60,No Formal Education,Government,Family Visit,Advanced,155970.29,195493.76,11,1,1,1,1,0,1,27
Morocco,Portugal,Student,Other,74,Professional Degree,Private Sector,Family Visit,Basic,14204.41,37941.04,0,0,1,1,0,1,0,28
Saudi Arabia,Schengen (EU),Immigrant/PR,Female,62,No Formal Education,Government,Education,Native,93370.67,162747.08,1,0,0,1,0,1,1,35
Thailand,Denmark,Work,Male,49,Bachelor's Degree,Student,Tourism,Intermediate,9131.56,9386.1,1,0,1,1,1,1,1,15
Brazil,South Korea,Student,Male,72,Bachelor's Degree,Private Sector,Permanent Residence,Advanced,42019.22,70841.7,6,0,1,1,1,1,1,11
Colombia,France,Tourist,Female,47,Master's Degree,Private Sector,Medical,Advanced,4951.9,5973.59,9,0,1,1,1,0,1,13
Myanmar,United Kingdom,Work,Female,44,Master's Degree,Private Sector,Work Assignment,Advanced,17899.1,4358.28,5,0,0,1,0,1,0,40
Sri Lanka,France,Immigrant/PR,Female,55,Bachelor's Degree,Unemployed,Permanent Residence,Intermediate,119304.05,119505.9,2,0,1,1,1,0,1,54
China,South Africa,Immigrant/PR,Male,77,Bachelor's Degree,Student,Permanent Residence,Basic,7635.43,797.19,3,0,0,1,0,1,0,32
Qatar,Spain,Family/Spouse,Female,54,High School,Self-Employed,Medical,Intermediate,14614.77,22797.14,14,0,1,1,0,1,1,13
France,South Korea,Family/Spouse,Male,76,Master's Degree,Private Sector,Tourism,Advanced,12319.26,23438.26,0,0,1,1,1,0,0,14
India,Schengen (EU),Family/Spouse,Female,38,Master's Degree,Self-Employed,Education,Native,26299.53,78179.0,0,0,1,1,1,1,1,31
Poland,China,Work,Male,26,Bachelor's Degree,Private Sector,Permanent Residence,Native,34338.58,77680.09,5,0,1,1,0,1,1,24
Romania,South Korea,Immigrant/PR,Female,46,High School,Private Sector,Conference,Basic,113426.1,315707.4,3,0,1,1,0,1,1,20
India,New Zealand,Family/Spouse,Female,57,Bachelor's Degree,Student,Work Assignment,Advanced,5420.08,9287.17,1,0,0,1,1,1,1,18
Ethiopia,UAE,Immigrant/PR,Female,53,Master's Degree,Student,Tourism,Intermediate,10101.63,7243.45,0,0,1,0,1,1,1,24
Saudi Arabia,Austria,Work,Female,38,Master's Degree,Student,Medical,Native,11417.8,6005.5,1,0,0,1,0,0,0,34
Poland,China,Transit,Female,47,Master's Degree,Government,Permanent Residence,Advanced,20652.63,38371.51,1,0,1,1,0,1,1,10
Chile,Sweden,Immigrant/PR,Male,32,Master's Degree,Retired,Tourism,Basic,14264.66,25989.42,0,0,1,1,0,1,1,29
Iraq,Japan,Work,Female,50,Bachelor's Degree,Private Sector,Work Assignment,Advanced,7245.0,20034.96,12,0,1,1,1,1,1,28
United Kingdom,Singapore,Business,Female,75,Professional Degree,Private Sector,Medical,Advanced,67929.82,30166.65,5,0,0,1,0,1,1,3
Senegal,Germany,Immigrant/PR,Female,57,High School,Retired,Education,Advanced,18125.14,33738.04,3,0,1,0,0,1,1,32
Mexico,Ireland,Work,Female,69,Master's Degree,Student,Tourism,Native,40532.74,39218.18,6,0,1,1,0,1,0,29
Kenya,Switzerland,Business,Male,74,Bachelor's Degree,Unemployed,Education,Advanced,86896.51,101987.63,0,0,1,1,0,1,1,25
Sri Lanka,China,Student,Female,70,Master's Degree,Government,Education,Advanced,17510.26,24963.41,6,0,0,1,1,1,1,28
Syria,Taiwan,Business,Male,49,High School,Unemployed,Education,Native,42554.26,19951.13,4,0,0,1,0,0,0,30
United States,Belgium,Tourist,Male,68,Master's Degree,Student,Work Assignment,Advanced,22144.71,44003.05,0,0,1,0,0,1,1,12
Iraq,United States,Family/Spouse,Female,54,High School,Student,Business Meeting,Advanced,8759.9,22445.87,10,1,1,1,0,1,0,44
Nepal,Germany,Tourist,Male,46,Bachelor's Degree,Private Sector,Family Visit,None,9546.62,27829.79,4,0,0,1,1,1,1,14
Japan,Portugal,Student,Male,58,Bachelor's Degree,Private Sector,Permanent Residence,Advanced,22698.21,64621.2,0,0,1,0,1,0,0,17
Venezuela,Ireland,Transit,Male,74,Bachelor's Degree,Private Sector,Family Visit,Advanced,14556.72,29572.12,5,0,1,1,0,0,0,19
Canada,Belgium,Tourist,Female,62,Master's Degree,Unemployed,Tourism,Basic,66066.03,180040.06,1,0,1,1,1,0,1,8
Australia,Thailand,Tourist,Female,47,High School,Student,Business Meeting,Advanced,107356.68,127999.79,8,0,1,1,1,1,1,1
Syria,India,Student,Female,51,High School,Self-Employed,Tourism,Intermediate,91304.19,173461.03,1,0,1,1,0,0,1,29
India,United States,Student,Female,78,High School,Self-Employed,Medical,Native,20916.0,35471.51,1,0,1,1,0,1,1,40
Ukraine,United Kingdom,Work,Male,61,Master's Degree,Student,Family Visit,Intermediate,8444.54,23234.88,11,0,1,1,0,1,1,33
Brazil,Germany,Immigrant/PR,Male,69,PhD,Self-Employed,Business Meeting,Advanced,9532.91,26363.42,0,0,1,1,1,0,1,45
Ethiopia,France,Immigrant/PR,Male,44,Master's Degree,Retired,Family Visit,Intermediate,16442.97,39526.59,4,0,1,1,1,1,1,36
Canada,Australia,Work,Female,63,High School,Private Sector,Conference,Advanced,10951.65,28861.88,2,0,1,0,0,1,1,36
Tunisia,South Korea,Family/Spouse,Male,65,Bachelor's Degree,Retired,Permanent Residence,Advanced,33108.24,8254.4,2,0,1,1,0,0,1,19
Peru,Schengen (EU),Tourist,Male,64,PhD,Government,Work Assignment,Basic,68523.82,101173.39,0,0,1,1,0,0,1,16
Peru,France,Family/Spouse,Male,57,Associate Degree,Private Sector,Business Meeting,Advanced,79870.54,109705.17,0,0,1,1,0,1,1,19
Morocco,Germany,Immigrant/PR,Female,36,Associate Degree,Private Sector,Tourism,Advanced,12718.1,31527.95,0,0,0,1,0,1,0,43
Venezuela,Thailand,Family/Spouse,Male,48,Bachelor's Degree,Self-Employed,Tourism,Advanced,40785.57,109953.19,1,0,1,1,1,0,1,14
Vietnam,Japan,Immigrant/PR,Female,75,Master's Degree,Student,Medical,Native,2222.46,6323.3,0,0,1,1,1,1,1,31
Pakistan,Australia,Family/Spouse,Female,48,Professional Degree,Student,Conference,None,11926.22,8664.65,0,0,1,1,0,1,1,48
Peru,Japan,Immigrant/PR,Female,75,Bachelor's Degree,Self-Employed,Conference,Advanced,112103.55,277874.62,2,0,1,0,1,1,1,22
Ecuador,Belgium,Tourist,Male,46,Bachelor's Degree,Student,Family Visit,Advanced,9700.65,14025.36,2,0,1,1,1,1,1,14
Bulgaria,Spain,Student,Male,60,Associate Degree,Retired,Family Visit,Advanced,27815.33,26062.17,2,1,1,0,0,1,0,33
United States,Thailand,Immigrant/PR,Female,49,Bachelor's Degree,Unemployed,Medical,Native,176358.79,380847.9,1,0,1,1,0,1,1,10
Pakistan,Germany,Work,Female,72,PhD,Private Sector,Business Meeting,Native,62232.5,12110.77,4,0,1,0,1,1,0,42
Afghanistan,Canada,Transit,Male,68,Associate Degree,Self-Employed,Permanent Residence,Advanced,54250.37,113359.67,16,0,1,0,0,1,0,18
Hungary,UAE,Transit,Male,65,Bachelor's Degree,Private Sector,Conference,Intermediate,121112.84,223713.06,9,0,1,1,1,1,1,2
Bangladesh,New Zealand,Student,Male,59,High School,Retired,Family Visit,Advanced,400963.77,320363.54,6,0,1,1,0,1,1,32
Hungary,United States,Student,Female,61,High School,Student,Education,None,17955.03,39900.88,0,0,1,0,0,1,1,46
Kenya,China,Student,Male,52,Bachelor's Degree,Private Sector,Family Visit,Intermediate,228000.53,184275.59,1,0,1,1,0,0,1,23
Japan,Italy,Business,Male,54,Bachelor's Degree,Private Sector,Work Assignment,Intermediate,24964.43,61458.24,0,0,1,0,1,1,1,14
Ukraine,United Kingdom,Transit,Male,60,Associate Degree,Self-Employed,Tourism,Basic,26070.59,62126.4,8,0,1,1,1,1,1,10
Egypt,New Zealand,Business,Male,79,Bachelor's Degree,Private Sector,Education,Intermediate,46432.85,119263.0,1,0,1,1,1,1,0,21
Thailand,Australia,Transit,Female,71,No Formal Education,Private Sector,Education,Advanced,56018.49,163378.44,1,1,0,1,1,1,0,8
Nepal,China,Student,Female,77,Bachelor's Degree,Government,Tourism,Advanced,207599.96,523069.15,4,0,1,1,1,0,1,14
France,Switzerland,Tourist,Male,59,High School,Retired,Work Assignment,Basic,49212.95,126862.08,5,0,1,1,1,1,1,18
Indonesia,Sweden,Tourist,Male,66,Bachelor's Degree,Private Sector,Education,Intermediate,12203.2,1796.43,3,1,1,0,1,0,1,16
Bulgaria,UAE,Work,Female,37,Bachelor's Degree,Private Sector,Conference,Intermediate,43742.9,42363.16,6,0,1,1,0,1,1,8
Algeria,Switzerland,Tourist,Male,52,High School,Government,Medical,Intermediate,18110.54,28764.34,1,0,1,1,1,1,0,29
Germany,United Kingdom,Student,Male,64,PhD,Unemployed,Permanent Residence,Basic,25273.08,26554.65,0,0,1,1,1,1,1,20
United States,Sweden,Transit,Female,49,Professional Degree,Student,Conference,Intermediate,9537.73,16343.99,3,0,1,1,0,1,1,4
Hungary,Austria,Tourist,Male,44,Bachelor's Degree,Government,Medical,Native,22223.51,37123.29,5,0,0,1,0,1,1,11
Ecuador,Norway,Student,Female,59,Associate Degree,Private Sector,Work Assignment,Intermediate,98203.16,212390.45,1,0,1,1,0,1,1,15
Sri Lanka,Canada,Family/Spouse,Male,55,High School,Unemployed,Permanent Residence,Advanced,39649.66,53760.07,1,0,0,1,1,1,1,35
Malaysia,Germany,Transit,Male,27,High School,Private Sector,Tourism,Basic,47519.76,32269.35,4,0,1,1,1,1,1,11
Syria,China,Transit,Female,44,Bachelor's Degree,Private Sector,Education,None,44069.51,66686.78,1,0,1,1,1,1,0,18
Bulgaria,Germany,Transit,Male,46,Bachelor's Degree,Private Sector,Permanent Residence,Intermediate,72378.92,149060.97,0,0,1,1,1,1,1,11
France,Denmark,Business,Female,71,Master's Degree,Student,Work Assignment,None,29065.37,7027.88,1,0,0,1,1,1,0,15
Syria,France,Work,Female,78,Bachelor's Degree,Private Sector,Medical,Advanced,8835.36,23254.66,5,0,1,1,1,1,1,28
Morocco,Taiwan,Transit,Male,55,Bachelor's Degree,Self-Employed,Tourism,Native,32011.74,90118.29,0,0,1,1,1,0,1,14
Ethiopia,Japan,Transit,Male,56,Associate Degree,Self-Employed,Conference,Advanced,48595.75,58520.99,1,0,1,1,1,0,1,12
Russia,Switzerland,Work,Female,44,PhD,Student,Medical,Intermediate,20211.77,59447.05,3,0,1,1,0,1,0,35
Afghanistan,South Korea,Work,Male,70,No Formal Education,Private Sector,Conference,Intermediate,18610.08,30932.1,2,0,1,0,0,1,1,28
Brazil,Ireland,Immigrant/PR,Female,69,Bachelor's Degree,Private Sector,Family Visit,Intermediate,93003.11,187497.22,0,0,1,1,1,1,1,29
China,Thailand,Family/Spouse,Male,76,Bachelor's Degree,Student,Education,None,17603.52,41051.69,1,0,1,1,1,1,1,10
Colombia,New Zealand,Work,Female,44,Bachelor's Degree,Student,Family Visit,Intermediate,11410.03,24346.28,0,0,1,1,1,1,1,34
Qatar,China,Work,Male,58,Master's Degree,Private Sector,Medical,Native,89504.15,40915.58,0,0,1,1,1,1,1,24
UAE,Canada,Work,Male,53,Master's Degree,Government,Permanent Residence,Advanced,11072.32,20006.12,2,0,0,1,1,0,1,37
India,Switzerland,Student,Male,75,High School,Government,Conference,Basic,62635.07,178273.3,1,0,1,1,1,1,0,22
Iran,United Kingdom,Business,Female,71,PhD,Private Sector,Medical,Advanced,55215.3,81609.37,0,0,0,1,0,1,0,20
Iraq,Portugal,Student,Male,57,High School,Unemployed,Tourism,Basic,9246.24,17325.21,0,0,1,0,1,1,0,19
Japan,New Zealand,Immigrant/PR,Female,30,Bachelor's Degree,Retired,Education,Intermediate,32383.69,84621.75,1,0,1,1,0,0,0,37
Brazil,UAE,Immigrant/PR,Female,41,High School,Private Sector,Work Assignment,Intermediate,34853.1,100946.23,0,0,1,0,1,0,0,19
France,India,Transit,Male,56,Associate Degree,Student,Education,None,23186.8,47326.6,0,0,1,1,1,0,1,4
Sri Lanka,Spain,Immigrant/PR,Male,47,Professional Degree,Government,Conference,Intermediate,8736.49,1158.27,1,1,1,1,0,1,1,34
Chile,Schengen (EU),Transit,Female,63,Associate Degree,Private Sector,Conference,Basic,66183.57,77116.78,2,1,1,1,1,1,1,17
Algeria,Portugal,Business,Male,67,Bachelor's Degree,Self-Employed,Work Assignment,Basic,18474.18,43330.82,1,0,1,1,0,1,1,20
